cau,romaji,nghia
きょうは からだが すこし つかれました。,Kyou wa karada ga sukoshi tsukaremashita.,Hôm nay cơ thể tôi hơi mệt.
この しゃしんの ひとは かおが ちいさくて、めが おおきいです。,"Kono shashin no hito wa kao ga chiisakute, me ga ookii desu.","Người trong tấm ảnh này mặt nhỏ và mắt to."
えきへ どうやって いきますか。,Eki e dou yatte ikimasu ka.,Bạn đi đến nhà ga bằng cách nào?
…にばんの バスに のって、こうえんの まえで おりて ください。,"…Ni-ban no basu ni notte, kouen no mae de orite kudasai.","…Hãy lên xe buýt số 2 rồi xuống trước công viên."
この かんじは どうやって よみますか。,Kono kanji wa dou yatte yomimasu ka.,Chữ Hán này đọc thế nào?
ミラーさんは どの ひとですか。,Miraa-san wa dono hito desu ka.,Anh Miller là người nào?
…あの せが たかくて、かみが みじかい ひとです。,"…Ano se ga takakute, kami ga mijikai hito desu.",…Là người cao và tóc ngắn kia.
どれが やまださんの かさですか。,Dore ga Yamada-san no kasa desu ka.,Cái nào là ô của anh Yamada?
…あの みどりの かさです。,…Ano midori no kasa desu.,…Là cái ô màu xanh lá kia.
おかねを おろしたいですが、どうやって つかいますか。,"Okane o oroshitai desu ga, dou yatte tsukaimasu ka.","Tôi muốn rút tiền, phải dùng thế nào ạ?"
まず キャッシュカードを いれて ください。,Mazu kyasshu kaado o irete kudasai.,Trước hết xin hãy cho thẻ rút tiền vào.
つぎに あんしょうばんごうを おして ください。,Tsugi ni anshou bangou o oshite kudasai.,Tiếp theo xin hãy bấm mã PIN.
それから きんがくを いれて、かくにんの ボタンを おして ください。,"Sorekara kingaku o irete, kakunin no botan o oshite kudasai.","Sau đó hãy nhập số tiền rồi bấm nút xác nhận."
おかねと カードを だして ください。,Okane to kaado o dashite kudasai.,Xin hãy lấy tiền và thẻ ra.
おひきだしですか。,Ohikidashi desu ka.,Anh/chị rút tiền ạ?
…いいえ、おあずけいれです。,"…Iie, oazukeire desu.","…Không, tôi gửi tiền vào tài khoản."
つうちょうきにゅうと ざんだかしょうかいの ボタンも あります。,Tsuuchou kinyuu to zandaka shoukai no botan mo arimasu.,Cũng có cả nút ghi sao kê và nút kiểm tra số dư.
あには だいがくに はいって、けいざいを べんきょうして います。,"Ani wa daigaku ni haitte, keizai o benkyou shite imasu.","Anh trai tôi vào đại học và đang học kinh tế."
あねは きょねん だいがくを でて、ぎんこうで はたらいて います。,"Ane wa kyonen daigaku o dete, ginkou de hataraite imasu.","Chị tôi tốt nghiệp đại học năm ngoái và đang làm ở ngân hàng."
あした かいしゃを けんがくして、しゃしんを とります。,"Ashita kaisha o kengaku shite, shashin o torimasu.","Ngày mai tôi tham quan công ty và chụp ảnh."
うちへ かえってから、ともだちに でんわします。,"Uchi e kaette kara, tomodachi ni denwa shimasu.","Sau khi về nhà tôi sẽ gọi điện cho bạn."
きょうとで おてらと じんじゃを けんがくしました。,Kyouto de otera to jinja o kengaku shimashita.,Ở Kyoto tôi đã đi tham quan chùa và đền thờ.
にほんごが じょうずですね。,Nihongo ga jouzu desu ne.,Tiếng Nhật của bạn giỏi nhỉ.
…いいえ、まだまだです。,"…Iie, madamada desu.","…Không đâu, tôi còn phải cố gắng nhiều."
この ひとは はなが たかくて、めが おおきいです。,"Kono hito wa hana ga takakute, me ga ookii desu.","Người này mũi cao và mắt to."
この ぎんこうは サービスが いいです。,Kono ginkou wa saabisu ga ii desu.,Ngân hàng này dịch vụ tốt.
