tiengNhat,romaji,nghia,kana,phuluc
明日の昼,ashita no hiru,buổi trưa ngày mai,あしたのひる,1
明日の晩,ashita no ban,buổi tối ngày mai,あしたのばん,1
明後日の朝,asatte no asa,buổi sáng ngày mốt,あさってのあさ,1
明後日の昼,asatte no hiru,buổi trưa ngày mốt,あさってのひる,1
明後日の晩,asatte no ban,buổi tối ngày mốt,あさってのばん,1
先週の月曜日の朝,senshuu no getsuyoubi no asa,buổi sáng thứ hai tuần trước,せんしゅうのげつようびのあさ,1
先週の月曜日の昼,senshuu no getsuyoubi no hiru,buổi trưa thứ hai tuần trước,せんしゅうのげつようびのひる,1
先週の月曜日の晩,senshuu no getsuyoubi no ban,buổi tối thứ hai tuần trước,せんしゅうのげつようびのばん,1
先週の火曜日の朝,senshuu no kayoubi no asa,buổi sáng thứ ba tuần trước,せんしゅうのかようびのあさ,1
先週の火曜日の昼,senshuu no kayoubi no hiru,buổi trưa thứ ba tuần trước,せんしゅうのかようびのひる,1
先週の火曜日の晩,senshuu no kayoubi no ban,buổi tối thứ ba tuần trước,せんしゅうのかようびのばん,1
先週の水曜日の朝,senshuu no suiyoubi no asa,buổi sáng thứ tư tuần trước,せんしゅうのすいようびのあさ,1
先週の水曜日の昼,senshuu no suiyoubi no hiru,buổi trưa thứ tư tuần trước,せんしゅうのすいようびのひる,1
先週の水曜日の晩,senshuu no suiyoubi no ban,buổi tối thứ tư tuần trước,せんしゅうのすいようびのばん,1
先週の木曜日の朝,senshuu no mokuyoubi no asa,buổi sáng thứ năm tuần trước,せんしゅうのもくようびのあさ,1
先週の木曜日の昼,senshuu no mokuyoubi no hiru,buổi trưa thứ năm tuần trước,せんしゅうのもくようびのひる,1
先週の木曜日の晩,senshuu no mokuyoubi no ban,buổi tối thứ năm tuần trước,せんしゅうのもくようびのばん,1
先週の金曜日の朝,senshuu no kinyoubi no asa,buổi sáng thứ sáu tuần trước,せんしゅうのきんようびのあさ,1
先週の金曜日の昼,senshuu no kinyoubi no hiru,buổi trưa thứ sáu tuần trước,せんしゅうのきんようびのひる,1
先週の金曜日の晩,senshuu no kinyoubi no ban,buổi tối thứ sáu tuần trước,せんしゅうのきんようびのばん,1
先週の土曜日の朝,senshuu no doyoubi no asa,buổi sáng thứ bảy tuần trước,せんしゅうのどようびのあさ,1
先週の土曜日の昼,senshuu no doyoubi no hiru,buổi trưa thứ bảy tuần trước,せんしゅうのどようびのひる,1
先週の土曜日の晩,senshuu no doyoubi no ban,buổi tối thứ bảy tuần trước,せんしゅうのどようびのばん,1
先週の日曜日の朝,senshuu no nichiyoubi no asa,buổi sáng chủ nhật tuần trước,せんしゅうのにちようびのあさ,1
先週の日曜日の昼,senshuu no nichiyoubi no hiru,buổi trưa chủ nhật tuần trước,せんしゅうのにちようびのひる,1
先週の日曜日の晩,senshuu no nichiyoubi no ban,buổi tối chủ nhật tuần trước,せんしゅうのにちようびのばん,1
今週の月曜日の朝,konshuu no getsuyoubi no asa,buổi sáng thứ hai tuần này,こんしゅうのげつようびのあさ,1
今週の月曜日の昼,konshuu no getsuyoubi no hiru,buổi trưa thứ hai tuần này,こんしゅうのげつようびのひる,1
今週の月曜日の晩,konshuu no getsuyoubi no ban,buổi tối thứ hai tuần này,こんしゅうのげつようびのばん,1
今週の火曜日の朝,konshuu no kayoubi no asa,buổi sáng thứ ba tuần này,こんしゅうのかようびのあさ,1
今週の火曜日の昼,konshuu no kayoubi no hiru,buổi trưa thứ ba tuần này,こんしゅうのかようびのひる,1
今週の火曜日の晩,konshuu no kayoubi no ban,buổi tối thứ ba tuần này,こんしゅうのかようびのばん,1
今週の水曜日の朝,konshuu no suiyoubi no asa,buổi sáng thứ tư tuần này,こんしゅうのすいようびのあさ,1
今週の水曜日の昼,konshuu no suiyoubi no hiru,buổi trưa thứ tư tuần này,こんしゅうのすいようびのひる,1
今週の水曜日の晩,konshuu no suiyoubi no ban,buổi tối thứ tư tuần này,こんしゅうのすいようびのばん,1
今週の木曜日の朝,konshuu no mokuyoubi no asa,buổi sáng thứ năm tuần này,こんしゅうのもくようびのあさ,1
今週の木曜日の昼,konshuu no mokuyoubi no hiru,buổi trưa thứ năm tuần này,こんしゅうのもくようびのひる,1
今週の木曜日の晩,konshuu no mokuyoubi no ban,buổi tối thứ năm tuần này,こんしゅうのもくようびのばん,1
今週の金曜日の朝,konshuu no kinyoubi no asa,buổi sáng thứ sáu tuần này,こんしゅうのきんようびのあさ,1
今週の金曜日の昼,konshuu no kinyoubi no hiru,buổi trưa thứ sáu tuần này,こんしゅうのきんようびのひる,1
今週の金曜日の晩,konshuu no kinyoubi no ban,buổi tối thứ sáu tuần này,こんしゅうのきんようびのばん,1
今週の土曜日の朝,konshuu no doyoubi no asa,buổi sáng thứ bảy tuần này,こんしゅうのどようびのあさ,1
今週の土曜日の昼,konshuu no doyoubi no hiru,buổi trưa thứ bảy tuần này,こんしゅうのどようびのひる,1
今週の土曜日の晩,konshuu no doyoubi no ban,buổi tối thứ bảy tuần này,こんしゅうのどようびのばん,1
今週の日曜日の朝,konshuu no nichiyoubi no asa,buổi sáng chủ nhật tuần này,こんしゅうのにちようびのあさ,1
今週の日曜日の昼,konshuu no nichiyoubi no hiru,buổi trưa chủ nhật tuần này,こんしゅうのにちようびのひる,1
今週の日曜日の晩,konshuu no nichiyoubi no ban,buổi tối chủ nhật tuần này,こんしゅうのにちようびのばん,1
来週の月曜日の朝,raishuu no getsuyoubi no asa,buổi sáng thứ hai tuần sau,らいしゅうのげつようびのあさ,1
来週の月曜日の昼,raishuu no getsuyoubi no hiru,buổi trưa thứ hai tuần sau,らいしゅうのげつようびのひる,1
来週の月曜日の晩,raishuu no getsuyoubi no ban,buổi tối thứ hai tuần sau,らいしゅうのげつようびのばん,1
来週の火曜日の朝,raishuu no kayoubi no asa,buổi sáng thứ ba tuần sau,らいしゅうのかようびのあさ,1
来週の火曜日の昼,raishuu no kayoubi no hiru,buổi trưa thứ ba tuần sau,らいしゅうのかようびのひる,1
来週の火曜日の晩,raishuu no kayoubi no ban,buổi tối thứ ba tuần sau,らいしゅうのかようびのばん,1
来週の水曜日の朝,raishuu no suiyoubi no asa,buổi sáng thứ tư tuần sau,らいしゅうのすいようびのあさ,1
来週の水曜日の昼,raishuu no suiyoubi no hiru,buổi trưa thứ tư tuần sau,らいしゅうのすいようびのひる,1
来週の水曜日の晩,raishuu no suiyoubi no ban,buổi tối thứ tư tuần sau,らいしゅうのすいようびのばん,1
来週の木曜日の朝,raishuu no mokuyoubi no asa,buổi sáng thứ năm tuần sau,らいしゅうのもくようびのあさ,1
来週の木曜日の昼,raishuu no mokuyoubi no hiru,buổi trưa thứ năm tuần sau,らいしゅうのもくようびのひる,1
来週の木曜日の晩,raishuu no mokuyoubi no ban,buổi tối thứ năm tuần sau,らいしゅうのもくようびのばん,1
来週の金曜日の朝,raishuu no kinyoubi no asa,buổi sáng thứ sáu tuần sau,らいしゅうのきんようびのあさ,1
来週の金曜日の昼,raishuu no kinyoubi no hiru,buổi trưa thứ sáu tuần sau,らいしゅうのきんようびのひる,1
来週の金曜日の晩,raishuu no kinyoubi no ban,buổi tối thứ sáu tuần sau,らいしゅうのきんようびのばん,1
来週の土曜日の朝,raishuu no doyoubi no asa,buổi sáng thứ bảy tuần sau,らいしゅうのどようびのあさ,1
来週の土曜日の昼,raishuu no doyoubi no hiru,buổi trưa thứ bảy tuần sau,らいしゅうのどようびのひる,1
来週の土曜日の晩,raishuu no doyoubi no ban,buổi tối thứ bảy tuần sau,らいしゅうのどようびのばん,1
来週の日曜日の朝,raishuu no nichiyoubi no asa,buổi sáng chủ nhật tuần sau,らいしゅうのにちようびのあさ,1
来週の日曜日の昼,raishuu no nichiyoubi no hiru,buổi trưa chủ nhật tuần sau,らいしゅうのにちようびのひる,1
来週の日曜日の晩,raishuu no nichiyoubi no ban,buổi tối chủ nhật tuần sau,らいしゅうのにちようびのばん,1
