cau,romaji,nghia
きょうは かいしゃを やすみます。,Kyou wa kaisha o yasumimasu.,Hôm nay tôi nghỉ làm.
きのう だいがくを やすみました。,Kinou daigaku o yasumimashita.,Hôm qua tôi đã nghỉ học.
コーヒーを いっぱいだけ のみました。,Koohii o ippai dake nomimashita.,Tôi chỉ uống một cốc cà phê thôi.
みんな きっさてんへ いきました。,Minna kissaten e ikimashita.,Mọi người đã đi quán cà phê.
サンドイッチと ジュースを かいました。ぜんぶで はっぴゃくえんです。,Sandoicchi to juusu o kaimashita. Zenbu de happyaku en desu.,Tôi đã mua sandwich và nước ép. Tổng cộng 800 yên.
あさ パンを たべました。それから コーヒーを のみました。,Asa pan o tabemashita. Sorekara koohii o nomimashita.,Buổi sáng tôi ăn bánh mì. Sau đó tôi uống cà phê.
いらっしゃいませ。,Irasshaimase.,Xin mời vào ạ.
これを こうくうびんで おねがいします。,Kore o koukuubin de onegaishimasu.,Cái này cho tôi gửi đường hàng không.
この てがみを そくたつで おねがいします。,Kono tegami o sokutatsu de onegaishimasu.,Lá thư này cho tôi gửi chuyển phát nhanh.
かきとめで おねがいします。,Kakitome de onegaishimasu.,Cho tôi gửi bảo đảm.
エアメールは いくら かかりますか。,Eameeru wa ikura kakarimasu ka.,Gửi thư hàng không hết bao nhiêu tiền?
…せんにひゃくえんです。,…Sen nihyaku en desu.,…1200 yên.
いい おてんきですね。おでかけですか。,Ii otenki desu ne. Odekake desu ka.,Trời đẹp nhỉ. Anh/chị đi ra ngoài à?
…ええ、ちょっと ゆうびんきょくまで。,"…Ee, chotto yuubinkyoku made.","…Vâng, tôi đi bưu điện một chút."
いってらっしゃい。,Itterasshai.,Anh/chị đi nhé.
…いってまいります。,…Itte mairimasu.,…Tôi đi đây.
いってきます。,Itte kimasu.,Tôi đi đây ạ.
…いってらっしゃい。,…Itterasshai.,…Anh/chị đi nhé.
てんどんを ひとつと みそしるを ふたつ ください。,Tendon o hitotsu to misoshiru o futatsu kudasai.,Cho tôi 1 phần cơm tôm chiên và 2 bát súp miso.
…かしこまりました。,…Kashikomarimashita.,…Vâng ạ.
ぎゅうどんを ふたつ おねがいします。,Gyuudon o futatsu onegaishimasu.,Cho tôi 2 phần cơm thịt bò.
おにぎりを よっつ かいました。,Onigiri o yottsu kaimashita.,Tôi đã mua 4 nắm cơm.
コロッケを むっつ かいました。ぜんぶで ろっぴゃくえんです。,Korokke o muttsu kaimashita. Zenbu de roppyaku en desu.,Tôi đã mua 6 cái korokke. Tổng cộng 600 yên.
やきそばを ひとつと おこのみやきを ひとつ ください。,Yakisoba o hitotsu to okonomiyaki o hitotsu kudasai.,Cho tôi 1 phần mì xào và 1 cái okonomiyaki.
ぜんぶで いくらですか。,Zenbu de ikura desu ka.,Tổng cộng hết bao nhiêu tiền ạ?
…せんごひゃくえんです。,…Sen gohyaku en desu.,…1500 yên ạ.
この ていしょくは やさいいためと つけものと ごはんです。,Kono teishoku wa yasai itame to tsukemono to gohan desu.,"Suất cơm này gồm rau xào, dưa muối và cơm."
ピザを ふたつと コーラを ふたつ ください。,Piza o futatsu to koora o futatsu kudasai.,Cho tôi 2 cái pizza và 2 chai coca.
こうちゃを ひとつと ココアを ひとつ おねがいします。,Koucha o hitotsu to kokoa o hitotsu onegaishimasu.,Cho tôi 1 hồng trà và 1 ca-cao.
まいあさ トーストを いちまい たべます。,Maiasa toosuto o ichimai tabemasu.,Mỗi sáng tôi ăn 1 lát bánh mì nướng.
あさ おにぎりを ひとつ たべました。それから こうちゃを のみました。,Asa onigiri o hitotsu tabemashita. Sorekara koucha o nomimashita.,Buổi sáng tôi ăn 1 nắm cơm. Sau đó tôi uống hồng trà.
スパゲッティを ひとつだけ たべました。,Supagetti o hitotsu dake tabemashita.,Tôi chỉ ăn một phần mì Ý thôi.
いっしゅうかんに いっかい すしを たべます。,Isshuukan ni ikkai sushi o tabemasu.,Một tuần tôi ăn sushi 1 lần.
いもうとは いっしゅうかんに にかい ラーメンを たべます。,Imouto wa isshuukan ni nikai raamen o tabemasu.,Em gái tôi một tuần ăn ramen 2 lần.
わたしは からあげと エビフライが すきです。,Watashi wa karaage to ebifurai ga suki desu.,Tôi thích gà rán và tôm chiên xù.
うどんと そばと てんぷらを たべました。,Udon to soba to tenpura o tabemashita.,"Tôi đã ăn mì udon, mì soba và tempura."
わたしは りゅうがくせいです。,Watashi wa ryuugakusei desu.,Tôi là du học sinh.
クラスに りゅうがくせいが なんにん いますか。,Kurasu ni ryuugakusei ga nannin imasu ka.,Trong lớp có mấy du học sinh?
…じゅうにん います。,…Juunin imasu.,…Có 10 người.
この りょうりは じゅっぷんぐらい かかります。,Kono ryouri wa juppun gurai kakarimasu.,Món này mất khoảng 10 phút.
ハンバーグていしょくを ふたつと サラダを ひとつ おねがいします。,Hanbaagu teishoku o futatsu to sarada o hitotsu onegaishimasu.,Cho tôi 2 suất cơm thịt viên và 1 đĩa salad.
やきにくを たべました。それから アイスクリームを ふたつ たべました。,Yakiniku o tabemashita. Sorekara aisukuriimu o futatsu tabemashita.,Tôi đã ăn thịt nướng. Sau đó ăn 2 cây kem.
