cau,romaji,nghia
にほんへ いきますが、ビザが いりますか。,"Nihon e ikimasu ga, biza ga irimasu ka.","Tôi sẽ đi Nhật, có cần visa không?"
おかねを かえします。まって いて ください。,Okane o kaeshimasu. Matte ite kudasai.,Tôi sẽ trả lại tiền. Xin hãy đợi.
こんばん ようじが ありますから、でかけません。,"Konban youji ga arimasu kara, dekakemasen.","Tối nay tôi có việc bận nên không đi ra ngoài."
ダイエットを して いますから、あまい ジュースは のみません。,"Daietto o shite imasu kara, amai juusu wa nomimasen.","Vì đang ăn kiêng nên tôi không uống nước ngọt."
みんなで にほんの りょうりに ついて はなしましょう。,Minna de Nihon no ryouri ni tsuite hanashimashou.,Cả nhóm cùng nói chuyện về món ăn Nhật nào.
ここに かばんを おいても いいですか。,Koko ni kaban o oite mo ii desu ka.,Tôi để cặp ở đây có được không?
この かいしゃは くるまを つくって います。,Kono kaisha wa kuruma o tsukutte imasu.,Công ty này sản xuất ô tô.
あの みせで にほんの せいひんを うって います。,Ano mise de Nihon no seihin o utte imasu.,Ở cửa hàng kia người ta bán sản phẩm Nhật.
あには だいがくで けいざいを けんきゅうして います。,Ani wa daigaku de keizai o kenkyuu shite imasu.,Anh trai tôi nghiên cứu kinh tế ở trường đại học.
しりょうと カタログを もって きて ください。,Shiryou to katarogu o motte kite kudasai.,Xin hãy mang tài liệu và catalog đến.
でんしじしょを つかっても いいですか。,Denshi jisho o tsukatte mo ii desu ka.,Tôi dùng kim từ điển có được không?
この ソフトは とても べんりです。,Kono sofuto wa totemo benri desu.,Phần mềm này rất tiện lợi.
あたらしい ふくが ほしいです。,Atarashii fuku ga hoshii desu.,Tôi muốn có quần áo mới.
せんせいは いま きょうしつに いらっしゃいます。,Sensei wa ima kyoushitsu ni irasshaimasu.,Thầy giáo bây giờ đang ở trong lớp học.
みなさん、ここに すわって ください。,"Minasan, koko ni suwatte kudasai.","Mọi người hãy ngồi vào đây."
ごめんなさい。じかんを わすれました。,Gomennasai. Jikan o wasuremashita.,Xin lỗi. Tôi đã quên mất giờ.
ともだちの じゅうしょを おもいだしました。,Tomodachi no juusho o omoidashimashita.,Tôi đã nhớ ra địa chỉ của bạn tôi.
おとうさんの しょくぎょうは なんですか。,Otousan no shokugyou wa nan desu ka.,Nghề nghiệp của bố bạn là gì?
…しやくしょで はたらいて います。こうむいんです。,…Shiyakusho de hataraite imasu. Koumuin desu.,…Bố tôi làm ở tòa thị chính. Là công chức ạ.
これから びょういんへ いきます。,Korekara byouin e ikimasu.,Từ giờ tôi sẽ đến bệnh viện.
